customer_id,debt_amount,days_overdue,credit_score,age,income,num_previous_loans,num_previous_defaults,communication_preference,last_contact_date,payment_probability
1,3807.95,183,455,74,162408.67,1,4,email,2024-07-13 02:06:47.057132,0.8453
2,9512.07,352,651,42,131279.75,6,3,phone,2024-06-15 02:06:47.057132,0.1602
3,7346.74,36,343,78,170234.32,6,2,phone,2024-07-29 02:06:47.057132,0.1927
4,6026.72,37,611,58,110576.36,8,4,mail,2024-06-26 02:06:47.057132,0.3394
5,1644.58,14,437,62,197297.6,5,0,mail,2024-07-10 02:06:47.057132,0.2802
6,1644.35,123,735,30,193254.48,9,4,mail,2024-07-01 02:06:47.057132,0.5315
7,675.03,83,442,54,68921.03,9,3,email,2024-06-07 02:06:47.057132,0.7526
8,8675.14,159,598,47,89655.85,8,3,email,2024-06-09 02:06:47.057132,0.7933
9,6051.04,329,561,43,155487.69,2,3,phone,2024-07-06 02:06:47.057132,0.2084
10,7109.92,102,811,29,159788.62,7,4,phone,2024-06-27 02:06:47.057132,0.1756
11,303.79,337,361,74,183925.84,3,0,mail,2024-05-24 02:06:47.057132,0.3637
12,9702.11,83,722,18,137474.09,0,2,email,2024-05-14 02:06:47.057132,0.1477
13,8341.18,44,695,35,105521.78,6,0,email,2024-07-14 02:06:47.057132,0.0918
14,2202.16,68,330,75,87977.28,2,1,phone,2024-06-03 02:06:47.057132,0.2426
15,1900.07,48,629,38,95452.14,3,1,email,2024-05-19 02:06:47.057132,0.3939
16,1915.7,57,468,70,173072.93,2,2,mail,2024-05-11 02:06:47.057132,0.5878
17,3112.0,75,565,71,196401.59,5,3,email,2024-07-28 02:06:47.057132,0.7233
18,5295.09,22,607,79,29343.65,9,2,mail,2024-05-03 02:06:47.057132,0.2228
19,4376.26,132,758,41,124444.04,0,4,mail,2024-05-07 02:06:47.057132,0.8187
20,2983.17,302,484,77,113609.71,9,3,mail,2024-06-18 02:06:47.057132,0.0337
21,6157.34,267,633,34,87705.61,6,2,mail,2024-05-02 02:06:47.057132,0.444
22,1480.99,287,814,59,173283.76,9,2,email,2024-06-05 02:06:47.057132,0.6331
23,2992.23,120,740,77,123633.74,7,4,email,2024-05-13 02:06:47.057132,0.2913
24,3726.98,246,690,26,76360.89,2,4,mail,2024-06-03 02:06:47.057132,0.6837
25,4615.09,56,553,69,99938.73,8,0,phone,2024-04-30 02:06:47.057132,0.8671
26,7873.24,38,634,57,84224.64,1,1,phone,2024-06-10 02:06:47.057132,0.0894
27,2076.77,245,699,45,97415.41,9,2,mail,2024-05-23 02:06:47.057132,0.5126
28,5190.92,21,465,32,32827.84,9,0,mail,2024-06-22 02:06:47.057132,0.0188
29,5964.9,110,559,30,40144.85,8,3,phone,2024-05-10 02:06:47.057132,0.2796
30,559.86,94,303,45,132264.5,4,3,email,2024-07-10 02:06:47.057132,0.1369
31,6114.69,136,418,70,143132.31,5,1,email,2024-05-18 02:06:47.057132,0.6243
32,1788.19,231,769,34,134591.67,1,3,phone,2024-05-19 02:06:47.057132,0.2487
33,744.01,8,769,79,157353.57,4,1,mail,2024-05-03 02:06:47.057132,0.2824
34,9493.97,328,792,26,189836.12,5,3,mail,2024-06-09 02:06:47.057132,0.2056
35,9659.76,290,799,73,174911.3,4,3,email,2024-08-03 02:06:47.057132,0.2438
36,8103.13,251,369,38,95331.72,3,2,email,2024-06-27 02:06:47.057132,0.2251
37,3115.68,361,669,47,59157.76,7,4,mail,2024-06-08 02:06:47.057132,0.6979
38,1066.95,87,480,28,76133.4,1,2,email,2024-06-06 02:06:47.057132,0.9558
39,6873.91,204,304,47,125793.47,0,0,phone,2024-07-27 02:06:47.057132,0.4902
40,4457.51,219,496,53,174117.5,1,4,phone,2024-07-18 02:06:47.057132,0.6004
41,1308.18,241,346,73,146310.34,3,2,email,2024-05-09 02:06:47.057132,0.8181
42,5002.25,320,439,42,117742.36,0,4,mail,2024-07-31 02:06:47.057132,0.4761
43,440.45,258,839,24,128338.1,8,4,phone,2024-05-04 02:06:47.057132,0.302
44,9102.27,109,726,37,115087.02,0,4,email,2024-06-06 02:06:47.057132,0.951
45,2661.92,256,609,72,194892.95,4,3,email,2024-07-31 02:06:47.057132,0.9062
46,6658.97,282,573,71,166896.46,7,4,mail,2024-06-04 02:06:47.057132,0.2204
47,3185.94,220,838,76,160629.9,8,3,email,2024-06-10 02:06:47.057132,0.7031
48,5248.67,83,689,77,113119.22,8,4,phone,2024-08-03 02:06:47.057132,0.6471
49,5512.43,107,758,52,79725.7,7,3,email,2024-05-27 02:06:47.057132,0.6496
50,1930.06,69,660,27,23512.54,5,4,mail,2024-07-24 02:06:47.057132,0.8306
51,9698.89,97,368,52,27817.4,5,0,email,2024-05-13 02:06:47.057132,0.6741
52,7773.81,212,730,18,25442.83,8,2,phone,2024-07-15 02:06:47.057132,0.518
53,9401.04,286,331,31,196485.82,1,4,phone,2024-05-10 02:06:47.057132,0.8461
54,8958.79,237,812,62,40606.82,2,0,email,2024-07-02 02:06:47.057132,0.2648
55,6019.21,8,481,22,45581.39,5,2,mail,2024-05-09 02:06:47.057132,0.6792
56,9226.55,294,547,57,107147.0,7,1,phone,2024-07-14 02:06:47.057132,0.7015
57,976.08,189,596,61,106652.21,6,4,mail,2024-05-17 02:06:47.057132,0.8703
58,2040.23,81,329,55,185595.28,7,1,mail,2024-07-17 02:06:47.057132,0.9983
59,547.75,108,601,73,33235.89,4,2,phone,2024-06-05 02:06:47.057132,0.5576
60,3320.77,321,775,72,192303.05,8,2,email,2024-06-21 02:06:47.057132,0.4844
61,3947.91,67,651,51,58950.24,5,4,mail,2024-05-30 02:06:47.057132,0.6007
62,2786.36,174,781,41,194627.69,9,0,email,2024-07-23 02:06:47.057132,0.6587
63,8304.5,346,616,21,117438.34,1,4,mail,2024-07-07 02:06:47.057132,0.713
64,3631.86,351,696,44,137362.29,5,0,phone,2024-05-09 02:06:47.057132,0.2812
65,2881.25,328,388,22,76831.18,3,4,mail,2024-08-03 02:06:47.057132,0.487
66,5472.69,43,533,60,130128.31,4,0,email,2024-08-03 02:06:47.057132,0.3709
67,1495.15,187,467,30,147949.36,4,3,email,2024-06-24 02:06:47.057132,0.0388
68,8041.75,302,425,57,21866.63,0,0,mail,2024-06-07 02:06:47.057132,0.6095
69,838.05,200,419,38,26161.12,9,0,mail,2024-06-05 02:06:47.057132,0.8748
70,9870.18,39,727,54,197565.86,4,2,mail,2024-05-16 02:06:47.057132,0.9215
71,7745.22,220,489,49,102360.28,9,1,phone,2024-07-12 02:06:47.057132,0.5174
72,2067.29,307,727,55,188447.15,8,4,email,2024-06-18 02:06:47.057132,0.7659
73,154.67,4,501,48,151381.57,7,2,mail,2024-07-05 02:06:47.057132,0.7124
74,8173.07,121,358,49,87134.3,7,1,email,2024-08-03 02:06:47.057132,0.2289
75,7097.89,336,522,32,47151.56,2,2,email,2024-06-11 02:06:47.057132,0.0629
76,7317.17,77,791,72,196067.31,8,2,email,2024-06-06 02:06:47.057132,0.7479
77,7735.58,179,310,74,125209.33,8,4,email,2024-05-11 02:06:47.057132,0.2827
78,833.04,133,811,65,54624.19,9,3,mail,2024-05-04 02:06:47.057132,0.5494
79,3648.81,311,609,47,142697.54,6,2,email,2024-07-04 02:06:47.057132,0.5241
80,1247.1,229,333,60,36568.73,5,4,email,2024-07-04 02:06:47.057132,0.8179
81,8644.72,276,639,24,176246.71,8,0,phone,2024-08-05 02:06:47.057132,0.6446
82,6270.65,152,780,55,36224.72,5,1,mail,2024-06-25 02:06:47.057132,0.8471
83,3375.89,164,392,48,62514.98,2,4,email,2024-05-27 02:06:47.057132,0.7522
84,729.23,290,432,61,36457.54,5,3,email,2024-06-19 02:06:47.057132,0.9998
85,3178.72,109,718,43,38681.7,1,4,mail,2024-07-17 02:06:47.057132,0.8639
86,3319.31,126,767,53,114290.15,1,4,mail,2024-07-26 02:06:47.057132,0.2111
87,7323.1,240,743,63,143658.16,6,0,email,2024-07-02 02:06:47.057132,0.9614
88,6411.82,310,329,60,161926.72,7,1,phone,2024-08-06 02:06:47.057132,0.3401
89,8883.41,345,597,43,145109.95,6,1,phone,2024-06-26 02:06:47.057132,0.6078
90,4774.93,146,360,61,85428.17,4,3,mail,2024-07-22 02:06:47.057132,0.9414
91,1283.98,252,757,19,120311.8,3,1,mail,2024-06-19 02:06:47.057132,0.2142
92,7161.12,183,603,60,186979.53,7,0,phone,2024-08-01 02:06:47.057132,0.8573
93,7631.77,309,639,62,89763.79,8,3,phone,2024-05-02 02:06:47.057132,0.9532
94,5656.64,306,747,60,65432.79,6,0,phone,2024-07-25 02:06:47.057132,0.8538
95,7732.58,72,601,26,113477.48,0,0,phone,2024-06-23 02:06:47.057132,0.8192
