customer_id,debt_amount,days_overdue,credit_score,age,income,num_previous_loans,num_previous_defaults,communication_preference,last_contact_date,payment_probability,days_since_last_contact,debt_to_income_ratio,default_rate
1,3807.95,183,455,74,162408.67,1,4,0,2024-07-13 02:06:47.057132,0.8453,25,0.023446716237501358,2.0
2,9512.07,352,651,42,131279.75,6,3,1,2024-06-15 02:06:47.057132,0.1602,53,0.07245649081446301,0.42857142857142855
3,7346.74,36,343,78,170234.32,6,2,1,2024-07-29 02:06:47.057132,0.1927,9,0.04315663257561694,0.2857142857142857
4,6026.72,37,611,58,110576.36,8,4,2,2024-06-26 02:06:47.057132,0.3394,42,0.05450278884202736,0.4444444444444444
5,1644.58,14,437,62,197297.6,5,0,2,2024-07-10 02:06:47.057132,0.2802,28,0.008335529676995563,0.0
6,1644.35,123,735,30,193254.48,9,4,2,2024-07-01 02:06:47.057132,0.5315,37,0.008508729008507332,0.4
7,675.03,83,442,54,68921.03,9,3,0,2024-06-07 02:06:47.057132,0.7526,61,0.009794252929766139,0.3
8,8675.14,159,598,47,89655.85,8,3,0,2024-06-09 02:06:47.057132,0.7933,59,0.09676044563740123,0.3333333333333333
9,6051.04,329,561,43,155487.69,2,3,1,2024-07-06 02:06:47.057132,0.2084,32,0.03891652130146123,1.0
10,7109.92,102,811,29,159788.62,7,4,1,2024-06-27 02:06:47.057132,0.1756,41,0.0444957844932887,0.5
11,303.79,337,361,74,183925.84,3,0,2,2024-05-24 02:06:47.057132,0.3637,75,0.001651698314929539,0.0
12,9702.11,83,722,18,137474.09,0,2,0,2024-05-14 02:06:47.057132,0.1477,85,0.07057409872653095,2.0
13,8341.18,44,695,35,105521.78,6,0,0,2024-07-14 02:06:47.057132,0.0918,24,0.07904699863857491,0.0
14,2202.16,68,330,75,87977.28,2,1,1,2024-06-03 02:06:47.057132,0.2426,65,0.02503100800570329,0.3333333333333333
15,1900.07,48,629,38,95452.14,3,1,0,2024-05-19 02:06:47.057132,0.3939,80,0.019905996869216343,0.25
16,1915.7,57,468,70,173072.93,2,2,2,2024-05-11 02:06:47.057132,0.5878,88,0.011068744257117506,0.6666666666666666
17,3112.0,75,565,71,196401.59,5,3,0,2024-07-28 02:06:47.057132,0.7233,10,0.015845085571863243,0.5
18,5295.09,22,607,79,29343.65,9,2,2,2024-05-03 02:06:47.057132,0.2228,96,0.1804509663930697,0.2
19,4376.26,132,758,41,124444.04,0,4,2,2024-05-07 02:06:47.057132,0.8187,92,0.0351664892910902,4.0
20,2983.17,302,484,77,113609.71,9,3,2,2024-06-18 02:06:47.057132,0.0337,50,0.026258054879288045,0.3
21,6157.34,267,633,34,87705.61,6,2,2,2024-05-02 02:06:47.057132,0.444,97,0.07020463115187273,0.2857142857142857
22,1480.99,287,814,59,173283.76,9,2,0,2024-06-05 02:06:47.057132,0.6331,63,0.008546617409502194,0.2
23,2992.23,120,740,77,123633.74,7,4,0,2024-05-13 02:06:47.057132,0.2913,86,0.02420237388272813,0.5
24,3726.98,246,690,26,76360.89,2,4,2,2024-06-03 02:06:47.057132,0.6837,65,0.048807445801116255,1.3333333333333333
25,4615.09,56,553,69,99938.73,8,0,1,2024-04-30 02:06:47.057132,0.8671,99,0.046179193992159,0.0
26,7873.24,38,634,57,84224.64,1,1,1,2024-06-10 02:06:47.057132,0.0894,58,0.0934790579098943,0.5
27,2076.77,245,699,45,97415.41,9,2,2,2024-05-23 02:06:47.057132,0.5126,76,0.021318701014552008,0.2
28,5190.92,21,465,32,32827.84,9,0,2,2024-06-22 02:06:47.057132,0.0188,46,0.1581255422226988,0.0
29,5964.9,110,559,30,40144.85,8,3,1,2024-05-10 02:06:47.057132,0.2796,89,0.14858443860171355,0.3333333333333333
30,559.86,94,303,45,132264.5,4,3,0,2024-07-10 02:06:47.057132,0.1369,28,0.004232881839042222,0.6
31,6114.69,136,418,70,143132.31,5,1,0,2024-05-18 02:06:47.057132,0.6243,81,0.042720542971744116,0.16666666666666666
32,1788.19,231,769,34,134591.67,1,3,1,2024-05-19 02:06:47.057132,0.2487,80,0.01328603768717633,1.5
33,744.01,8,769,79,157353.57,4,1,2,2024-05-03 02:06:47.057132,0.2824,96,0.004728268955067241,0.2
34,9493.97,328,792,26,189836.12,5,3,2,2024-06-09 02:06:47.057132,0.2056,59,0.050011399305885516,0.5
35,9659.76,290,799,73,174911.3,4,3,0,2024-08-03 02:06:47.057132,0.2438,4,0.055226620578544675,0.6
36,8103.13,251,369,38,95331.72,3,2,0,2024-06-27 02:06:47.057132,0.2251,41,0.08499930558265392,0.5
37,3115.68,361,669,47,59157.76,7,4,2,2024-06-08 02:06:47.057132,0.6979,60,0.052667308566112035,0.5
38,1066.95,87,480,28,76133.4,1,2,0,2024-06-06 02:06:47.057132,0.9558,62,0.014014217150422812,1.0
39,6873.91,204,304,47,125793.47,0,0,1,2024-07-27 02:06:47.057132,0.4902,11,0.05464441039745545,0.0
40,4457.51,219,496,53,174117.5,1,4,1,2024-07-18 02:06:47.057132,0.6004,20,0.025600585811305584,2.0
41,1308.18,241,346,73,146310.34,3,2,0,2024-05-09 02:06:47.057132,0.8181,90,0.008941131570058549,0.5
42,5002.25,320,439,42,117742.36,0,4,2,2024-07-31 02:06:47.057132,0.4761,7,0.04248470983595029,4.0
43,440.45,258,839,24,128338.1,8,4,1,2024-05-04 02:06:47.057132,0.302,95,0.0034319504496326497,0.4444444444444444
44,9102.27,109,726,37,115087.02,0,4,0,2024-06-06 02:06:47.057132,0.951,62,0.07909032660677112,4.0
45,2661.92,256,609,72,194892.95,4,3,0,2024-07-31 02:06:47.057132,0.9062,7,0.013658369889726641,0.6
46,6658.97,282,573,71,166896.46,7,4,2,2024-06-04 02:06:47.057132,0.2204,64,0.039898809117940554,0.5
47,3185.94,220,838,76,160629.9,8,3,0,2024-06-10 02:06:47.057132,0.7031,58,0.01983404086038776,0.3333333333333333
48,5248.67,83,689,77,113119.22,8,4,1,2024-08-03 02:06:47.057132,0.6471,4,0.04639945360302166,0.4444444444444444
49,5512.43,107,758,52,79725.7,7,3,0,2024-05-27 02:06:47.057132,0.6496,72,0.06914244716571946,0.375
50,1930.06,69,660,27,23512.54,5,4,2,2024-07-24 02:06:47.057132,0.8306,14,0.08208641006033375,0.6666666666666666
51,9698.89,97,368,52,27817.4,5,0,0,2024-05-13 02:06:47.057132,0.6741,86,0.34866270751400197,0.0
52,7773.81,212,730,18,25442.83,8,2,1,2024-07-15 02:06:47.057132,0.518,23,0.30554030349611266,0.2222222222222222
53,9401.04,286,331,31,196485.82,1,4,1,2024-05-10 02:06:47.057132,0.8461,89,0.04784589544426158,2.0
54,8958.79,237,812,62,40606.82,2,0,0,2024-07-02 02:06:47.057132,0.2648,36,0.22062279193495085,0.0
55,6019.21,8,481,22,45581.39,5,2,2,2024-05-09 02:06:47.057132,0.6792,90,0.13205411243492135,0.3333333333333333
56,9226.55,294,547,57,107147.0,7,1,1,2024-07-14 02:06:47.057132,0.7015,24,0.0861111370360346,0.125
57,976.08,189,596,61,106652.21,6,4,2,2024-05-17 02:06:47.057132,0.8703,82,0.009151990380696284,0.5714285714285714
58,2040.23,81,329,55,185595.28,7,1,2,2024-07-17 02:06:47.057132,0.9983,21,0.010992898095253285,0.125
59,547.75,108,601,73,33235.89,4,2,1,2024-06-05 02:06:47.057132,0.5576,63,0.016480677965897708,0.4
60,3320.77,321,775,72,192303.05,8,2,0,2024-06-21 02:06:47.057132,0.4844,47,0.017268420859679553,0.2222222222222222
61,3947.91,67,651,51,58950.24,5,4,2,2024-05-30 02:06:47.057132,0.6007,69,0.06697021080830205,0.6666666666666666
62,2786.36,174,781,41,194627.69,9,0,0,2024-07-23 02:06:47.057132,0.6587,15,0.014316359609467698,0.0
63,8304.5,346,616,21,117438.34,1,4,2,2024-07-07 02:06:47.057132,0.713,31,0.07071370388920688,2.0
