customer_id,debt_amount,payment_probability,recommended_strategy
1,3807.95,0.37575677,Standard follow-up
2,9512.07,0.2918728,Aggressive collection
3,7346.74,0.24254543,Aggressive collection
4,6026.72,0.6563698,Standard follow-up
5,1644.58,0.19893414,Aggressive collection
6,1644.35,0.8460512,Soft reminder
7,675.03,0.59323156,Standard follow-up
8,8675.14,0.4692096,Standard follow-up
9,6051.04,0.6057621,Standard follow-up
10,7109.92,0.32707012,Standard follow-up
11,303.79,0.6575134,Standard follow-up
12,9702.11,0.1195951,Aggressive collection
13,8341.18,0.20423496,Aggressive collection
14,2202.16,0.26430824,Aggressive collection
15,1900.07,0.68810916,Standard follow-up
16,1915.7,0.56134254,Standard follow-up
17,3112.0,0.8802413,Soft reminder
18,5295.09,0.11468262,Aggressive collection
19,4376.26,0.69694585,Standard follow-up
20,2983.17,0.79101545,Soft reminder
21,6157.34,0.6170778,Standard follow-up
22,1480.99,0.83136934,Soft reminder
23,2992.23,0.4322358,Standard follow-up
24,3726.98,0.43723541,Standard follow-up
25,4615.09,0.6799259,Standard follow-up
26,7873.24,0.40454298,Standard follow-up
27,2076.77,0.61948496,Standard follow-up
28,5190.92,0.3764358,Standard follow-up
29,5964.9,0.3856978,Standard follow-up
30,559.86,0.7864446,Soft reminder
31,6114.69,0.7431005,Soft reminder
32,1788.19,0.5705761,Standard follow-up
33,744.01,0.16068198,Aggressive collection
34,9493.97,0.8310931,Soft reminder
35,9659.76,0.17777061,Aggressive collection
36,8103.13,0.38069466,Standard follow-up
37,3115.68,0.71351576,Soft reminder
38,1066.95,0.5246712,Standard follow-up
39,6873.91,0.2729082,Aggressive collection
40,4457.51,0.64403445,Standard follow-up
41,1308.18,0.7692734,Soft reminder
42,5002.25,0.43744618,Standard follow-up
43,440.45,0.2481674,Aggressive collection
44,9102.27,0.64834493,Standard follow-up
45,2661.92,0.80844116,Soft reminder
46,6658.97,0.3362292,Standard follow-up
47,3185.94,0.79863197,Soft reminder
48,5248.67,0.2583838,Aggressive collection
49,5512.43,0.739059,Soft reminder
50,1930.06,0.590091,Standard follow-up
